epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,10849.8,0.49683,0.25638,0.83374,0.99953,0.99953,0.99499,0.9584,0.3384,0.17291,0.8041,0.004456,0.004456,0.004456
58,11036,0.49515,0.25598,0.83424,0.99959,0.99954,0.99499,0.95842,0.33733,0.17224,0.80383,0.004357,0.004357,0.004357
59,11220.7,0.49347,0.25563,0.83213,0.99964,0.99963,0.99499,0.95872,0.33559,0.17199,0.80338,0.004258,0.004258,0.004258
60,11401,0.4894,0.25298,0.8325,0.99953,0.99964,0.99499,0.95907,0.33427,0.1711,0.803,0.004159,0.004159,0.004159
61,11587.6,0.49042,0.25396,0.83191,0.99947,0.99959,0.99499,0.95946,0.33275,0.17046,0.80265,0.00406,0.00406,0.00406
62,11776,0.48658,0.25155,0.8308,0.99947,0.99959,0.99499,0.96001,0.3313,0.16978,0.80236,0.003961,0.003961,0.003961
63,11961.9,0.4831,0.25064,0.82889,0.99951,0.99959,0.99499,0.96034,0.32971,0.16933,0.80199,0.003862,0.003862,0.003862
64,12152.7,0.48228,0.24985,0.83012,0.9994,0.99959,0.99499,0.96105,0.32778,0.16892,0.80164,0.003763,0.003763,0.003763
65,12337.1,0.47859,0.24822,0.82818,0.99923,0.99959,0.99499,0.96148,0.3265,0.16828,0.80139,0.003664,0.003664,0.003664
66,12531.7,0.47625,0.24689,0.82929,0.99946,0.99953,0.99499,0.96157,0.32585,0.16776,0.80121,0.003565,0.003565,0.003565
67,12713.8,0.4743,0.24606,0.82775,0.99935,0.99962,0.99499,0.96187,0.32582,0.16746,0.80108,0.003466,0.003466,0.003466
68,12904.5,0.47009,0.24451,0.82681,0.99956,0.99953,0.99499,0.9622,0.32501,0.16694,0.80086,0.003367,0.003367,0.003367
69,13089.7,0.4677,0.24265,0.82639,0.99976,0.99963,0.99499,0.96236,0.32395,0.16662,0.80059,0.003268,0.003268,0.003268
70,13287.7,0.46788,0.24318,0.82613,0.9997,0.99969,0.99499,0.96261,0.32279,0.16616,0.8003,0.003169,0.003169,0.003169
71,13474.6,0.4648,0.24202,0.82578,0.99976,0.99957,0.99499,0.96256,0.32253,0.16585,0.80017,0.00307,0.00307,0.00307
72,13652.6,0.46312,0.24063,0.82588,0.99976,0.99949,0.99499,0.96305,0.32095,0.16549,0.79989,0.002971,0.002971,0.002971
73,13837.9,0.45966,0.23936,0.82416,0.99956,0.9997,0.99499,0.96321,0.3203,0.16546,0.79973,0.002872,0.002872,0.002872
74,14054.3,0.4575,0.23888,0.82478,0.9996,0.9997,0.99499,0.9635,0.31915,0.1649,0.79951,0.002773,0.002773,0.002773
75,14251.1,0.45631,0.23826,0.8238,0.99964,0.99969,0.99499,0.96379,0.31721,0.16442,0.79921,0.002674,0.002674,0.002674
76,14447,0.45277,0.23692,0.82199,0.99947,0.99982,0.99499,0.96374,0.31736,0.16444,0.79911,0.002575,0.002575,0.002575
77,14632.5,0.44973,0.23488,0.8221,0.99962,0.99964,0.99499,0.96388,0.31664,0.16411,0.79895,0.002476,0.002476,0.002476
78,14812.1,0.4489,0.23431,0.82219,0.99963,0.99964,0.99499,0.96394,0.31573,0.16384,0.79877,0.002377,0.002377,0.002377
79,14990.4,0.4463,0.23354,0.82121,0.99944,0.9997,0.99499,0.9643,0.3149,0.16364,0.79858,0.002278,0.002278,0.002278
80,15176.8,0.44403,0.2322,0.82054,0.99949,0.9997,0.99499,0.96457,0.31386,0.16337,0.79839,0.002179,0.002179,0.002179
81,15363.9,0.44255,0.23121,0.8186,0.99949,0.9997,0.99499,0.96471,0.31306,0.1632,0.79821,0.00208,0.00208,0.00208
82,15543.9,0.44097,0.23126,0.81898,0.9995,0.9997,0.99499,0.96497,0.31196,0.16298,0.79798,0.001981,0.001981,0.001981
83,15723.8,0.43933,0.22968,0.81917,0.99959,0.99969,0.99499,0.96512,0.31084,0.16253,0.79778,0.001882,0.001882,0.001882
84,15912.6,0.43511,0.22808,0.81819,0.99953,0.9997,0.99499,0.96543,0.30938,0.16208,0.79754,0.001783,0.001783,0.001783
85,16101.2,0.43237,0.22693,0.81744,0.99959,0.99969,0.99499,0.96578,0.30886,0.16189,0.79742,0.001684,0.001684,0.001684
86,16282.9,0.43175,0.22636,0.81786,0.99953,0.9997,0.99499,0.96579,0.30828,0.16175,0.7973,0.001585,0.001585,0.001585
87,16472.3,0.42761,0.22478,0.81548,0.99958,0.9997,0.99499,0.96603,0.30794,0.16156,0.79721,0.001486,0.001486,0.001486
88,16658.9,0.4263,0.22379,0.81617,0.99953,0.9997,0.99499,0.9659,0.30836,0.16161,0.79721,0.001387,0.001387,0.001387
89,16839.8,0.42261,0.22204,0.81506,0.9996,0.99964,0.995,0.96585,0.30808,0.16164,0.79711,0.001288,0.001288,0.001288
90,17026.6,0.42023,0.2208,0.8142,0.99964,0.99969,0.99499,0.96606,0.30729,0.16132,0.79697,0.001189,0.001189,0.001189
91,17257,0.37023,0.19096,0.79885,0.99959,0.9997,0.99499,0.96638,0.30584,0.16085,0.79672,0.00109,0.00109,0.00109
92,17459.2,0.35932,0.18679,0.79724,0.99965,0.9997,0.99499,0.96684,0.30448,0.1606,0.79652,0.000991,0.000991,0.000991
93,17661,0.35376,0.18434,0.79626,0.99967,0.9997,0.995,0.96723,0.30301,0.1602,0.79625,0.000892,0.000892,0.000892
94,17859.1,0.34956,0.18259,0.79645,0.9997,0.9997,0.995,0.9679,0.30114,0.15963,0.79597,0.000793,0.000793,0.000793
95,18045.3,0.34625,0.18108,0.79394,0.99969,0.9997,0.995,0.96846,0.29931,0.15894,0.79568,0.000694,0.000694,0.000694
96,18235.7,0.3436,0.18034,0.79437,0.99964,0.99976,0.995,0.96871,0.29776,0.15844,0.79543,0.000595,0.000595,0.000595
97,18423.4,0.33987,0.17857,0.7938,0.9997,0.99974,0.995,0.96915,0.29599,0.15779,0.79514,0.000496,0.000496,0.000496
98,18611.2,0.33699,0.1774,0.79358,0.99967,0.99976,0.995,0.96955,0.29402,0.15729,0.79485,0.000397,0.000397,0.000397
99,18799.7,0.33304,0.17534,0.79235,0.99975,0.99976,0.995,0.96994,0.29214,0.15683,0.79456,0.000298,0.000298,0.000298
100,18986.1,0.32855,0.17351,0.79096,0.9997,0.99976,0.995,0.97023,0.29052,0.15638,0.79428,0.000199,0.000199,0.000199
